,date,species,bands,sx,sy
1078,6/27/2015,GRSP,RY-SR,713811,4335322
1506,7/25/2015,GRSP,RY-SR,713788,4335327
891,6/8/2015,GRSP,RY-SR,713816,4335328
1498,7/25/2015,GRSP,RY-SR,713805,4335328
1163,7/3/2015,GRSP,RY-SR,713843,4335334
904,6/8/2015,GRSP,RY-SR,713820,4335335
1535,7/26/2015,GRSP,RY-SR,713837,4335337
1077,6/27/2015,GRSP,RY-SR,713815,4335338
985,6/17/2015,GRSP,RY-SR,713827,4335339
1084,6/27/2015,GRSP,RY-SR,713827,4335339
1496,7/25/2015,GRSP,RY-SR,713819,4335342
2742,5/26/2017,GRSP,RY-SV,713502,4334461
129,5/20/2014,GRSP,RY-SW,712421,4332293
2757,5/29/2017,GRSP,RY-SY,712385,4332360
2764,5/29/2017,GRSP,RY-SY,712421,4332362
2767,5/29/2017,GRSP,RY-SY,712441,4332384
3100,7/8/2017,GRSP,RY-SY,713453,4334375
3122,7/8/2017,GRSP,RY-SY,713420,4334397
3118,7/8/2017,GRSP,RY-SY,713473,4334409
2844,6/6/2017,GRSP,RY-SY,713457,4334434
2721,5/23/2017,GRSP,RY-SY,713447,4334443
2851,6/6/2017,GRSP,RY-SY,713475,4334459
2848,6/6/2017,GRSP,RY-SY,713455,4334460
2836,6/6/2017,GRSP,RY-SY,713465,4334479
743,5/20/2015,GRSP,RY-WS,708606,4329121
2756,5/29/2017,GRSP,RY-WS,711528,4330370
3434,5/25/2018,GRSP,RY-YS,711243,4331974
3588,6/7/2018,GRSP,SA-AA,712055,4329268
2048,6/8/2016,GRSP,SA-AK,712376,4331823
4458,7/3/2019,GRSP,SA-AP,713316,4334409
2365,7/6/2016,GRSP,SA-AW,713584,4335580
3087,7/6/2017,GRSP,SA-BA,713321,4334415
4700,6/3/2020,GRSP,SA-BG,712672,4329320
4558,7/18/2019,GRSP,SA-DW,711597,4329586
4074,5/17/2019,GRSP,SA-GA,713625,4335346
3458,5/25/2018,GRSP,SA-GB,711231,4331802
3158,7/12/2017,GRSP,SA-KA,713410,4334387
2369,7/6/2016,GRSP,SA-KK,713127,4334168
3,4/25/2014,GRSP,SA-KY,711392,4328589
4029,5/6/2019,GRSP,SA-PA,708336,4328721
3862,7/10/2018,GRSP,SA-PB,711084,4329101
1753,5/13/2016,GRSP,SA-PG,713064,4334433
1750,5/13/2016,GRSP,SA-PG,713042,4334445
1755,5/13/2016,GRSP,SA-PG,713051,4334449
1757,5/13/2016,GRSP,SA-PG,713058,4334457
4191,6/1/2019,GRSP,SA-RA,712709,4332446
4566,7/22/2019,GRSP,SA-RO,712253,4329387
4516,7/12/2019,GRSP,SA-WK,713671,4335147
4551,7/17/2019,GRSP,SA-WK,713671,4335147
3311,5/10/2018,GRSP,SA-YK,708433,4328770
1889,5/28/2016,GRSP,SB-AA,711762,4329222
2270,6/27/2016,GRSP,SB-AA,711728,4329262
2284,6/27/2016,GRSP,SB-AA,711725,4329265
2282,6/27/2016,GRSP,SB-AA,711726,4329272
754,5/21/2015,GRSP,SB-AB,710734,4331134
3050,6/27/2017,GRSP,SB-AW,707104,4330070
2778,6/1/2017,GRSP,SB-AW,707124,4330085
758,5/21/2015,GRSP,SB-BA,711343,4330554
2738,5/24/2017,GRSP,SB-BB,713136,4334408
4856,7/6/2020,GRSP,SB-BW,712345,4329585
3239,7/20/2017,GRSP,SB-DG,713074,4334198
224,5/31/2014,GRSP,SB-GB,712712,4332290
774,5/23/2015,GRSP,SB-GG,707390,4327633
775,5/23/2015,GRSP,SB-GG,707357,4327639
4268,6/10/2019,GRSP,SB-KO,711419,4328444
4258,6/10/2019,GRSP,SB-KO,711430,4328451
4262,6/10/2019,GRSP,SB-KO,711422,4328456
207,5/30/2014,GRSP,SB-KO,711457,4328584
209,5/30/2014,GRSP,SB-KO,711452,4328593
212,5/30/2014,GRSP,SB-KO,711469,4328605
202,5/30/2014,GRSP,SB-KO,711432,4328654
4260,6/10/2019,GRSP,SB-KO,711633,4329902
275,6/6/2014,GRSP,SB-KP,707988,4329067
4639,5/21/2020,GRSP,SB-KY,712236,4329267
3218,7/19/2017,GRSP,SB-PB,713540,4334397
3116,7/8/2017,GRSP,SB-PB,713712,4335158
3031,6/27/2017,GRSP,SB-PB,713747,4335161
3040,6/27/2017,GRSP,SB-PB,713772,4335161
716,5/17/2015,GRSP,SB-PB,713718,4335164
3624,6/12/2018,GRSP,SB-PB,713783,4335170
3094,7/8/2017,GRSP,SB-PB,713693,4335171
1348,7/16/2015,GRSP,SB-PB,713748,4335186
1328,7/16/2015,GRSP,SB-PB,713751,4335197
3090,7/8/2017,GRSP,SB-PB,713735,4335198
1346,7/16/2015,GRSP,SB-PB,713707,4335200
3627,6/12/2018,GRSP,SB-PB,713752,4335205
